,price_USD,revenue,publisherClass
210,5.99,145765.0,Indie
211,0.0,145540.0,Indie
212,4.99,145336.0,AA
213,14.99,144122.0,Indie
214,18.35,144011.0,Indie
215,12.99,143830.0,Indie
216,14.99,143625.0,Indie
217,14.99,143445.0,Indie
218,5.99,143115.0,Indie
219,9.99,142092.0,Indie
220,15.99,141787.0,Indie
221,11.99,140951.0,Indie
222,10.99,140940.0,Indie
223,9.99,140690.0,Indie
224,7.99,140013.0,Indie
225,0.0,138164.27473883974,Indie
226,21.99,138039.0,Indie
227,14.99,137489.0,Indie
228,14.99,137453.0,Indie
229,24.99,136381.0,Indie
230,8.99,135974.0,Indie
231,29.99,135445.0,Indie
232,11.99,134665.0,Indie
233,4.99,134579.0,Indie
234,19.99,134478.0,Indie
235,49.99,133582.0,Indie
236,19.99,133472.0,Indie
237,16.99,132527.0,AA
238,17.99,132521.0,Indie
239,9.99,132333.0,Indie
240,6.99,132078.0,Indie
241,9.25,131680.0,Indie
242,21.99,131175.0,Indie
243,14.99,130913.0,Indie
244,17.9,129987.0,Indie
245,19.99,129800.0,Indie
246,5.99,129211.0,Indie
247,17.99,129153.0,Indie
248,5.99,128483.0,Indie
249,19.99,127676.0,Indie
250,12.99,126481.0,Indie
251,9.99,126462.0,Indie
252,14.99,126302.0,Indie
253,7.99,125882.0,Indie
254,19.99,124545.0,Indie
255,4.99,124273.0,AAA
256,19.99,124094.0,Indie
257,4.99,124033.0,Indie
258,19.99,123977.0,Indie
259,15.99,123743.0,Indie
260,9.99,122952.0,Indie
261,29.99,122358.0,Indie
262,8.99,122090.0,Indie
263,24.99,121847.0,Indie
264,0.0,120624.0,Indie
265,12.99,119970.0,Indie
266,19.99,119956.0,Indie
267,16.99,119615.0,AA
268,24.99,119403.0,Indie
269,9.99,118127.0,AA
270,6.99,117466.0,Indie
271,24.99,117246.0,AA
272,14.99,117115.0,Indie
273,1.99,117047.0,Indie
274,19.99,116875.0,Indie
275,19.99,116681.0,Indie
276,12.49,116257.0,Indie
277,8.99,115933.0,Indie
278,7.99,115876.0,Indie
279,3.99,114851.0,Indie
280,6.99,114460.0,Indie
281,4.99,114434.0,AA
282,19.99,114045.0,Indie
283,19.99,113468.0,Indie
284,13.99,113195.0,Indie
285,10.99,113186.0,Indie
286,11.99,112737.0,Indie
287,4.99,112651.0,AAA
288,14.99,112505.0,Indie
289,12.99,112150.0,Indie
