game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
Busty Milf and Summer Country Sex Life;2795310;0;False;Live at your aunt's house in the countryside during the summer! From having a small chat to taking a bath together, raise Affection Level to unlock more interactions! She may not let you kiss her at first, but eventually......♡;Japanese, English, Simplified Chinese;MikanBatake; Dieselmine;{'coming_soon': False, 'date': '25 Apr, 2024'};£20.99;;Indie, Simulation;Single-player, Steam Achievements, Family Sharing;
Retrowave World;2413050;0;False;Neon lights, palm trees, synthwave, chrome robot women, speeding 80s supercars... Welcome to Retrowave World!;English, French, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, German, Czech, Hungarian, Japanese, Polish, Portuguese - Brazil, Italian, Bulgarian, Danish, Dutch, Finnish, Greek, Indonesian, Korean, Norwegian, Romanian, Swedish, Thai, Turkish, Ukrainian, Vietnamese, Catalan;RewindApp;RewindApp;{'coming_soon': False, 'date': '10 May, 2024'};£9.99;;Action, Adventure, Indie, Massively Multiplayer, Racing, Simulation, Early Access;Single-player, Multi-player, MMO, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing;
War Tortoise;2120250;0;False;War Tortoise is a new type of hybrid idle game, taking core incremental gameplay and adding new features, idle elements, and advanced graphics. Explore, command and upgrade, equip weapons and armor, level up, unlock abilities, recruit heroes and pilots, and more!;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;Foursaken Media;Foursaken Media;{'coming_soon': False, 'date': '27 Mar, 2024'};£10.99;;Action;Single-player, Full controller support, Steam Cloud, Family Sharing;
The Night is Grey;1281490;0;False;Graham’s alone in a forest filled with strange wolves. While he’s fleeing for his life he finds a lost girl in an abandoned lodge that won’t survive without his help. Try to find their way to safety in this slow-burning cinematic thriller filled with puzzles, hand-drawn animation and lots of mystery;English;Whalestork Interactive;Whalestork Interactive;{'coming_soon': False, 'date': '5 Jan, 2024'};£9.09;84.0;Adventure, Casual, Indie;Single-player, Steam Achievements, Family Sharing;
エスカレーター |  Escalator;2738050;0;False;Escalator is a horror game in which you must find something unusual while riding an escalator and try to escape from an enclosed space.;English, Japanese;Toyasky;Toyasky;{'coming_soon': False, 'date': '6 Jan, 2024'};£2.49;;Adventure, Indie, Simulation;Single-player, Steam Achievements, Family Sharing;
Thalassa: Edge of the Abyss;1783680;0;False;Uncover the mystery of Thalassa, a first-person psychological drama set under the sea. Ill-fate has fallen on your former crew and friends and it’s up to you to find answers onboard the wreckage. Experience the melancholic underwater journey of human stories facing life and loss.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Norwegian, Russian, Simplified Chinese, Traditional Chinese;Sarepta Studio;Team17 Digital Ltd;{'coming_soon': False, 'date': '1 Aug, 2024'};£15.99;;Adventure, Indie, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Forest Ranger Simulator;1185780;0;False;Take care of forgotten nature's treasure. Build, craft, feed, clean and manage your forest in Forest Ranger Simulator. Ensure its long-lasting beauty and become a flawless Forest Ranger!;English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Korean, Ukrainian;HOT CODE COMPANY, FreeMind S.A., VIRTUAL MAGIC;FreeMind S.A.;{'coming_soon': False, 'date': '19 Jun, 2024'};£5.69;;Action, Adventure, Casual, Indie, Simulation;Single-player, Steam Achievements, Family Sharing;
Fallen Leaf;1459010;0;False;Fallen Leaf is a retro side-scrolling adventure focused on tight, action-packed level design set in a whimsical world where almost anything goes!;English;Delta Shore Games;Delta Shore Games;{'coming_soon': False, 'date': '15 Jul, 2024'};£14.29;;Action, Indie;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
Été;1065070;0;False;Été (summer) is a relaxing painting game set in Montréal. Color the city to explore, create artworks on canvas, collect stamps in your album, decorate your studio, fulfill commissions from your neighbors, and unleash your inner artist!;English, French;Impossible;Impossible;{'coming_soon': False, 'date': '23 Jul, 2024'};£19.99;;Adventure, Casual, Indie, RPG;Single-player, Partial Controller Support, Steam Cloud, Family Sharing;
Monster Girl Conquest Records Battle Orc;2680840;0;False;Orcs fight big breasted monster girls in the vein of classic beat em ups!;English, Japanese, Simplified Chinese, Traditional Chinese;mozu field;Shady Corner Games;{'coming_soon': False, 'date': '9 May, 2024'};£7.43;;Action, Adventure;Single-player, Full controller support, Family Sharing;
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants;2527580;0;False;Re-experience the 2017 arcade classic with 3 additional stages and 6 additional boss battles! Take control of Leonardo, Michelangelo, Donatello or Raphael in this classic beat-em-up inspired by the cult favorite Turtles in Time. Play with your friends through 4 player local co-op;English, French, Italian, German, Spanish - Spain, Dutch;Cradle Games;GameMill Entertainment;{'coming_soon': False, 'date': '23 Apr, 2024'};£24.99;;Action;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing;
Dungeon Exiles;2850100;0;False;Conquer the darkness in Dungeon Exiles, an autobattler roguelike set in a dark fantasy world. Descend into the procedurally generated dungeon, level up, unlock synergies and acquire powerful items as you fight for survival and slay the bosses.;English;Gronkins;Gronkins;{'coming_soon': False, 'date': '7 Aug, 2024'};£8.50;;Indie, RPG, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
An English Haunting;2474030;0;False;While looking for the existence of the Great Beyond, Professor Patrick Moore, aided by a fake medium, will build a device to see the other side, embark on a search for a millenary artefact, and investigate the most haunted manor of 1907 England.;English, Spanish - Spain;Postmodern Adventures;Postmodern Adventures, enComplot;{'coming_soon': False, 'date': '22 May, 2024'};£10.79;83.0;Adventure;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Trackline Express;2343920;0;False;Embark on a thrilling journey through an unforgiving desert. You'll need to gather scarce resources and utilize your strategic and management skills to build a little train capable of overcoming attacks and fires.;English, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Portuguese - Portugal, Russian, Spanish - Latin America, Simplified Chinese, Traditional Chinese;Bubblebird Studio;Bubblebird Studio;{'coming_soon': False, 'date': '18 Apr, 2024'};£12.79;;Action, Casual, Indie, Strategy;Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Cloud, Includes level editor, Family Sharing;
Rum & Gun;1210800;0;False;"Rum &amp; Gun combines fast-paced shooter action with ARPG loot and character building. Journey across the Indian Ocean, uncover the secrets of the Drunken God, and become a legendary pirate captain. You're not on the Caribbean anymore...";English;Borington;Borington;{'coming_soon': False, 'date': '26 Aug, 2024'};£3.99;;Action, Adventure, Indie, RPG;Single-player, Multi-player, Co-op, LAN Co-op, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing;
Plushie from the Sky;1679510;0;False;A goofy action RPG. Armed with a plushie, smack down nightmarish foes with cuddly chaos. Cheese the boss. Dodge roll your way to victory!;English, Japanese, Simplified Chinese, French, Italian, German, Spanish - Spain, Czech, Korean, Polish, Portuguese - Brazil, Russian, Turkish, Ukrainian;fishwind;fishwind;{'coming_soon': False, 'date': '6 May, 2024'};£7.99;;Action, Adventure, Indie, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
飄流幻境M;1481340;0;True;"&quot;Wonderland M&quot; is a turn-based MMORPG with ancient civilizations, cute characters, and exploration. Pilot vehicles, meet characters, recruit companions, and create your dream home. Compose your own legendary adventure in &quot;Wonderland M&quot;!";Traditional Chinese, English;Chinesegamer;Chinesegamer;{'coming_soon': False, 'date': '25 Jun, 2024'};;;Adventure, Casual, Massively Multiplayer, RPG;Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases;
Horny Suika: Wet Watermelon;2739980;0;False;"Horny Suika - Wet Watermelon is an adorable and fun game about dropping &quot;fruits&quot; into a container, with a little twist. New features and different game modes. Combine small &quot;fruits&quot; to make them larger, creating big &quot;watermelons&quot; without overflowing the container, and enjoy your worthy &quot;rewards&quot;.";English, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese;Tora Creatives;Tora Creatives, Lewdonymous;{'coming_soon': False, 'date': '2 Aug, 2024'};£4.29;;Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Nine Tereasures of Liuyin;2949580;0;False;This is a dark, soul like role-playing game, trying to create a different experience in this genre. The protagonist fights against a powerful enemy in this city in search of a divine artifact.;English, Simplified Chinese, Japanese, Traditional Chinese, Korean;kingnagame;kingnagame;{'coming_soon': False, 'date': '1 Aug, 2024'};£15.89;;Action, Adventure, Indie, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Sore wa Maichiru Sakura no You ni -Re:BIRTH-;2754170;0;False;《繁花落舞恋如樱 -Re:BIRTH-》由日本美少女游戏资深大厂Navel制作，是早在22年前就已成为广受赞誉的经典名作的重制版。本作由西又葵担当原画与角色设计；由创作了《我们没有翅膀》、《近月少女的礼仪》等话题名作的剧本家王雀孙主笔。桃山伊音、夏和小、九条信乃等知名声优为本作女主角献声。;Japanese, Simplified Chinese, Traditional Chinese;Navel;HIKARI FIELD;{'coming_soon': False, 'date': '7 Jun, 2024'};£33.50;;Adventure, Casual;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing;
TryAndLove;2715590;0;False;A man's life is a life of pursuing love. The childish love of childhood sweethearts? White Moonlight's pure love? Ignorant of the astringent love of forbidden fruit? Blind love like a moth flying into a flame? True love that transcends the world? Act Ren Xing and make a willful choice.;Simplified Chinese, English, Traditional Chinese, Russian, Japanese, Korean, Spanish - Spain, French;MYSTERY CROWN;MYSTERY CROWN;{'coming_soon': False, 'date': '25 Jan, 2024'};£5.89;;Casual, Indie, RPG, Simulation;Single-player, Family Sharing;
Wulin Chess;1525410;0;False;Wulin Chess is a turn-based strategy game set in a captivating dark fantasy world. Employ diverse characters across various boards/battlefields, and devise strategic thinking for victory. Strengthen your heroes by collecting equipment and enhancing attributes to face the challenges that lie ahead.;Simplified Chinese, English;LameCat Studio;East2west Games;{'coming_soon': False, 'date': '1 Feb, 2024'};£9.29;;Adventure, Indie, RPG, Strategy;Single-player, Steam Cloud, Family Sharing;
My love with the GirlsGroup;2852710;0;False;Beneath Seoul's luminous skyline, you, a chauffeur, thrust into intrigue when you intercept an order from the nation's girl group darlings. Love's allure and career's radiance beckon - what path will you tread?;English, Traditional Chinese, Korean;Bing World;Bing World;{'coming_soon': False, 'date': '17 Apr, 2024'};£21.25;;Adventure, Casual, RPG, Simulation;Single-player, Family Sharing;
Benefitship;2404000;0;False;A futa x female friends-with-benefits visual novel illustrated by Sulcate. Features full voice acting.;English;RFH Games;RFH Games;{'coming_soon': False, 'date': '12 Jul, 2024'};£2.49;;Adventure, Casual, Indie, Simulation;Single-player, Family Sharing;
Lust & Legends;2899030;0;False;"Embark on a journey of intrigue, romance, and adventure in Lust &amp; Legends, a mature open-world RPG that plunges players into the immersive realm of Astoria. As a squire named Tristan, you must navigate the complexities of a medieval world filled with secrets, mysteries, and desires.";English;Entropy Digital Entertainment;Entropy Digital Entertainment;{'coming_soon': False, 'date': '9 May, 2024'};£10.99;;Adventure, Casual, RPG;Single-player, Family Sharing;
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!;2424110;0;False;The anime Demon Slayer: Kimetsu no Yaiba makes its virtual board game debut! Enjoy events and minigames with up to four players!;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese;CyberConnect2;SEGA;{'coming_soon': False, 'date': '16 Jul, 2024'};£29.99;;Action, Casual, Simulation;Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
Abathor;2295610;0;False;Abathor is a challenging 2D action platformer for solo play or up to 4 players. Embark on an epic 16-bit quest inspired by Golden Axe, Rastan, and Castlevania IV. Traverse Atlantis, battle demons, and defeat vicious bosses to save your progress! Enjoy an amazing OST from classic-era musicians!;English, Spanish - Spain, French, German, Japanese, Portuguese - Brazil, Catalan;Pow Pixel Games;JanduSoft;{'coming_soon': False, 'date': '25 Jul, 2024'};£12.79;;Action, Adventure, Indie;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing;
Yet Another Fantasy Title (YAFT);1993450;0;False;Become a rogue in a fantasy action adventure game filled with absurd humor. Go on a quest to kill the dragon - and realize this is only the beginning. Learn spells from a wizard and brawling from an orc. Save the kingdom, destroy a ring, fight a monstrous beaver!;English, French, German, Spanish - Spain, Simplified Chinese, Polish, Russian, Italian, Portuguese - Brazil, Ukrainian;Atomic Wolf;Atomic Wolf, Games Operators;{'coming_soon': False, 'date': '10 Apr, 2024'};£16.99;;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
GHOSTWARE: Arena of the Dead;1893370;0;False;An unique blend of retro-fps, metroidvania and adventure. Escape the cyber afterlife you've been trapped into, hop between realities and shoot your way out with the help of your new allies. But are they really your friends? The Arena conspiracy goes deeper than you could possibly imagine...;English;Daev Team;Mothership Loudspeakerz;{'coming_soon': False, 'date': '10 Jun, 2024'};£10.23;;Action, Adventure, Indie;Single-player, Family Sharing;
西游-琉璃盏;1309510;0;False;This is a side scrolling action Rougelike game set in the three realms of humans, demons, ghosts, and gods. It tells the story of Lao Sha and other characters from Journey to the West before they learn from the classics;Simplified Chinese, English;Dark Dimension;Dark Dimension;{'coming_soon': False, 'date': '11 Jul, 2024'};£12.79;;Action, Adventure, Casual, Indie, RPG;Single-player, Full controller support, Family Sharing;
