,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
10,kingdom hearts -hd 1.5+2.5 remix-,13-06-2024,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430,2552430,0 - 20000,8795,0,34.49,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']","['English', 'Japanese']",True,False,False,0,0,197,1376,214,214,261,261,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False
11,animal well,09-05-2024,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,813230,50000 - 100000,7461,0,22.49,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Ukrainian', 'Korean']",[],True,False,False,2679,90,20,3854,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
12,another crab's treasure,25-04-2024,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840,1887840,0 - 20000,0,0,26.99,0,1,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Traditional Chinese']","['English', 'Traditional Chinese']",True,False,False,0,0,32,1299,78,78,78,78,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
13,homeworld 3,13-05-2024,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080,1840080,100000 - 200000,2895,10,59.99,0,4,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","['English', 'Turkish']",True,False,False,2041,2346,35,2996,0,0,0,0,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
14,winter memories,05-01-2024,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450,2495450,0 - 0,0,0,15.99,0,0,"['English', 'Japanese', 'Simplified Chinese']",[],True,False,False,0,0,0,1121,0,0,0,0,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
15,nine sols,28-05-2024,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540,1809540,0 - 20000,5795,0,26.99,0,1,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",[],True,True,False,1253,137,35,1506,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
16,outpost: infinity siege,26-03-2024,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690,1566690,50000 - 100000,14387,0,24.99,0,0,"['Simplified Chinese', 'English', 'French', 'German', 'Japanese', 'Traditional Chinese', 'Korean']","['Simplified Chinese', 'English', 'Korean']",True,False,False,2712,2695,26,5388,0,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
17,sker ritual,18-04-2024,267953,24.99,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070,1492070,200000 - 500000,110,0,13.49,0,2,['English'],['English'],True,False,False,125,43,10,170,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
18,pixel gun 3d: pc edition,02-04-2024,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,2524890,0 - 0,0,0,0.0,0,5,"['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",[],True,False,False,0,0,0,0,0,0,0,0,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False
19,backpack battles,08-03-2024,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,2427700,200000 - 500000,35926,0,11.69,0,0,"['English', 'German', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",[],True,False,True,4035,181,0,4383,333,333,347,347,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
20,crime scene cleaner,14-08-2024,285596,19.99,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200,1040200,200000 - 500000,3951,0,19.99,0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Russian', 'Portuguese - Brazil', 'Turkish', 'Japanese', 'Korean']","['English', 'Korean']",True,False,False,6118,141,50,6092,369,196,256,256,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
21,kebab chefs! - restaurant simulator,19-01-2024,312189,17.99,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270,1001270,20000 - 50000,0,0,14.39,0,0,"['English', 'German', 'Russian', 'Turkish', 'French', 'Italian', 'Spanish - Spain', 'Polish', 'Portuguese - Portugal', 'Simplified Chinese', 'Japanese', 'Korean']",[],True,False,False,194,21,0,234,0,0,0,0,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False
22,predecessor,20-08-2024,433605,0.0,4523839.944318563,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200,961200,100000 - 200000,6264,0,0.0,0,3,['English'],['English'],True,False,False,1062,299,0,1574,236,236,274,274,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False
