name,releaseDate,copiesSold,price_x,revenue,avgPlaytime,reviewScore,publisherClass,publishers_x,developers_x,steamId,appid,estimated owners,price_y,dlc count,supported languages,header image,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,categories,genres,tags
kingdom hearts -hd 1.5+2.5 remix-,13-06-2024,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430,2552430,0 - 20000,34.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2552430/header.jpg?t=1718373003,1376,214,214,261,261,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,RPG",
animal well,09-05-2024,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,813230,50000 - 100000,22.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Ukrainian', 'Korean']",https://cdn.akamai.steamstatic.com/steam/apps/813230/header.jpg?t=1715425583,3854,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Exploration,Metroidvania,Puzzle,Puzzle-Platformer,Platformer,Adventure,Horror,Action,Mystery,2D,Pixel Graphics,Relaxing,Atmospheric,Cute,Surreal,Nonlinear,Controller,Retro,Singleplayer,Indie"
another crab's treasure,25-04-2024,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840,1887840,0 - 20000,26.99,1,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1887840/header.jpg?t=1714256365,1299,78,78,78,78,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie",
homeworld 3,13-05-2024,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080,1840080,100000 - 200000,59.99,4,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",https://cdn.akamai.steamstatic.com/steam/apps/1840080/header.jpg?t=1715643382,2996,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Family Sharing","Simulation,Strategy","Space,RTS,Strategy,Sci-fi,Story Rich,Singleplayer,Tactical,Co-op,Multiplayer,Rogue-like,Atmospheric,Combat,Female Protagonist,Real-Time,3D,Competitive,Isometric,Simulation,Rogue-lite,Management"
winter memories,05-01-2024,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450,2495450,0 - 0,15.99,0,"['English', 'Japanese', 'Simplified Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2495450/header.jpg?t=1704499222,1121,0,0,0,0,"Single-player,Steam Cloud","Adventure,Casual,RPG,Simulation",
nine sols,28-05-2024,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540,1809540,0 - 20000,26.99,1,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1809540/header.jpg?t=1716982448,1506,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Adventure,Indie","Action,Souls-like,Metroidvania,Difficult,Platformer,Hand-drawn,2D,Adventure,Atmospheric,Dark Fantasy,Cats,Sci-fi,Mythology,Gore,Story Rich,Indie,Singleplayer,Martial Arts,Action-Adventure,Comic Book"
outpost: infinity siege,26-03-2024,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690,1566690,50000 - 100000,24.99,0,"['Simplified Chinese', 'English', 'French', 'German', 'Japanese', 'Traditional Chinese', 'Korean']",https://cdn.akamai.steamstatic.com/steam/apps/1566690/header.jpg?t=1711784490,5388,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud,Family Sharing","Action,Strategy","Robots,3D,Base-Building,Tower Defense,FPS,Co-op,Singleplayer,Post-apocalyptic,Resource Management,Sci-fi,Automation,Strategy,Military,Loot,Real Time Tactics,Action,Multiplayer,Tactical,Shooter,First-Person"
sker ritual,18-04-2024,267953,24.99,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070,1492070,200000 - 500000,13.49,2,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1492070/header.jpg?t=1665074855,170,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud","Action,Indie,Early Access","Early Access,FPS,Singleplayer,Online Co-Op,Horror,Action,Zombies,Survival,First-Person,Shooter,PvE,Indie,Atmospheric,Realistic,Co-op,Dark,Multiplayer,Survival Horror,Story Rich,Controller"
pixel gun 3d: pc edition,02-04-2024,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,2524890,0 - 0,0.0,5,"['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",https://cdn.akamai.steamstatic.com/steam/apps/2524890/header.jpg?t=1712397176,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,In-App Purchases,Partial Controller Support","Action,Adventure,Massively Multiplayer,Free to Play",
backpack battles,08-03-2024,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,2427700,200000 - 500000,11.69,0,"['English', 'German', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2427700/header.jpg?t=1710323304,4383,333,333,347,347,"Multi-player,PvP,Online PvP,Steam Cloud,Family Sharing","Strategy,Early Access","Early Access,Auto Battler,Strategy,Inventory Management,PvP,Multiplayer,Roguelike Deckbuilder,Asynchronous Multiplayer,Indie,Tactical,Card Battler,Combat,Loot,Turn-Based,Rogue-like,Replay Value,2D,Hand-drawn,Cute,Cozy"
