name,releaseDate,copiesSold,price_x,revenue,avgPlaytime,reviewScore,publisherClass,publishers_x,developers_x,steamId,appid,estimated owners,price_y,dlc count,supported languages,header image,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,categories,genres,tags
distant bloom,27-03-2024,5937,19.99,82715.0,6.030660089252949,84,Indie,Kinda Brave,Ember Trail,1450250,1450250,0 - 20000,17.99,1,"['English', 'Simplified Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1450250/header.jpg?t=1711545126,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Casual,Indie","Crafting,Adventure,Cozy,Exploration,Relaxing,Family Friendly,Casual,Story Rich,Resource Management,Agriculture,Singleplayer,Aliens,Cute,3D,Nature,Colorful,Stylized,Atmospheric,Sci-fi,Management"
misha's incident,21-01-2024,9393,9.99,82653.0,3.379960284632395,86,Indie,Zetlaff,Zetlaff,2723520,2723520,0 - 0,9.99,0,"['English', 'Russian']",https://cdn.akamai.steamstatic.com/steam/apps/2723520/header.jpg?t=1705873676,0,0,0,0,0,"Single-player,Steam Achievements",RPG,
"sex and the furry titty 3: come inside, sweety",16-05-2024,10393,9.99,81316.0,4.081956048561926,91,Indie,Furlough Games PBS,Furlough Games,2221840,2221840,0 - 0,8.49,3,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian']",https://cdn.akamai.steamstatic.com/steam/apps/2221840/header.jpg?t=1716022666,0,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Casual,Indie,Simulation,Strategy",
terra memoria,27-03-2024,5444,19.99,80472.0,7.421489669857486,87,Indie,Dear Villagers,La Moutarde,1912750,1912750,0 - 20000,16.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1912750/header.jpg?t=1711634965,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Indie,RPG","Exploration,Turn-Based Combat,Pixel Graphics,Adventure,Party-Based RPG,Cooking,Funny,Story Rich,RPG,JRPG,Indie,Retro,Investigation,Colorful,Comedy,Fantasy,Turn-Based,Singleplayer,Crafting,2D"
hole dweller,19-01-2024,11170,7.99,80323.0,8.243305573081305,98,Indie,"Thigh High Games,Shady Corner Games",Thigh High Games,2293850,2293850,0 - 20000,7.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/2293850/header.jpg?t=1705714751,0,0,0,0,0,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud","Action,Adventure,Casual,Indie,RPG",
girls of the tower,23-02-2024,19531,6.99,80184.0,11.944999317231185,89,Indie,OKJOY,Robo Cat,2688680,2688680,0 - 0,6.29,0,['Simplified Chinese'],https://cdn.akamai.steamstatic.com/steam/apps/2688680/header.jpg?t=1708918759,0,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud","Adventure,Indie,Strategy",
let's take a bath with purin 2,11-07-2024,6829,17.99,79862.0,1.285001362466089,79,Indie,Parabolica Games,Parabolica Games,2973500,2973500,0 - 20000,12.59,0,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Spanish - Latin America', 'Finnish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2973500/header.jpg?t=1720784607,0,0,0,0,0,"Single-player,Family Sharing","Action,Casual,Indie,Simulation,Sports",
deviator,01-08-2024,13896,6.99,79632.0,4.154207295492834,72,AA,SapStaR Games,Gami Studio,2620730,2620730,0 - 0,6.29,1,"['English', 'Simplified Chinese', 'Traditional Chinese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2620730/header.jpg?t=1722568434,374,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie,Early Access",
berserk boy,06-03-2024,5193,20.0,79600.0,4.544247462000582,94,Indie,BerserkBoy Games,BerserkBoy Games,1561340,1561340,0 - 20000,18.0,1,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Spanish - Latin America']",https://cdn.akamai.steamstatic.com/steam/apps/1561340/header.jpg?t=1710325428,118,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Action,Platformer,2D Platformer,Metroidvania,Pixel Graphics,Adventure,Indie,Side Scroller,Action-Adventure,Singleplayer,2D,Retro,Colorful,Arcade,1990's,Futuristic,1980s,Old School,Soundtrack,Anime"
sinners landing,21-03-2024,6625,14.99,79552.0,6.418405065171533,92,Indie,Flexible Media,Flexible Media,1816140,1816140,0 - 20000,11.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1816140/header.jpg?t=1711013129,0,0,0,0,0,"Single-player,Steam Cloud,Family Sharing","Adventure,RPG,Early Access",
klaroro - abyss of the soul,24-06-2024,13771,6.99,79363.0,1.154620119000862,81,Indie,"Mango Party,Mango Party News",Ccryu,2822010,2822010,0 - 20000,6.99,0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Thai', 'Russian']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2822010/header.jpg?t=1719932743,248,0,0,0,0,"Single-player,Family Sharing",Action,
tortuga - a pirate's tale,13-02-2024,3832,24.99,79354.0,14.996518560571472,61,AA,Kalypso Media,Gaming Minds Studios,1604250,1604250,0 - 0,22.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Russian', 'Simplified Chinese', 'Turkish', 'Portuguese - Brazil', 'Korean', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1604250/header.jpg?t=1707838429,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Simulation,Strategy",
go mecha ball,25-01-2024,5660,19.99,78981.0,5.399627908579028,94,Indie,Super Rare Originals,Whale Peak Games,2008510,2008510,0 - 20000,17.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2008510/header.jpg?t=1706198329,113,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Action,
little lives,08-03-2024,8703,12.99,78886.0,9.53390087677779,85,Indie,Houndstooth Games,Houndstooth Games,1505560,1505560,0 - 20000,8.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1505560/header.jpg?t=1637446341,156,0,0,0,0,"Single-player,Steam Achievements","Indie,Simulation,Early Access","Life Sim,Dating Sim,Open World,Sandbox,Cute,Casual,Character Customization,Choices Matter,Time Management,Driving,Management,Indie,Simulation,3D,Story Rich,Early Access,Colorful,Stylized,Modern,Singleplayer"
taora : survival,23-05-2024,6923,13.99,78871.0,5.789378879025474,72,Indie,"Tulpar Games,TheGamesFortress",Tulpar Games,2165470,2165470,0 - 20000,12.59,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Thai', 'Turkish', 'Vietnamese', 'Hungarian']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2165470/header.jpg?t=1716832608,109,123,123,123,123,"Single-player,Multi-player,Co-op,Online Co-op,Family Sharing","Action,Adventure,RPG,Simulation,Early Access","Early Access,Exploration,Online Co-Op,Open World Survival Craft,Looter Shooter,Third-Person Shooter,Building,Crafting,Driving,Survival,Hunting,Base-Building,Trading,Shooter,Action RPG,RPG,Third Person,Post-apocalyptic,Open World,Co-op"
vampire therapist,18-07-2024,5819,14.99,78504.0,5.388496619369406,98,Indie,Little Bat Games,Little Bat Games,2481020,2481020,0 - 20000,14.99,0,['English'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2481020/header.jpg?t=1721597168,112,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Indie,Simulation","Visual Novel,Dark Comedy,Psychological,Gothic,Philosophical,Dark Humor,Historical,Casual,2D,Horror,Alternate History,Atmospheric,Dark Fantasy,Drama,Simulation,Emotional,Lore-Rich,Supernatural,Vampire,Adventure"
helskate,15-02-2024,4029,24.99,78067.0,3.456231082834484,85,Indie,Phantom Coast,Phantom Coast,1295630,1295630,0 - 20000,22.49,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1295630/header.jpg?t=1708029175,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud","Action,Adventure,Indie,Sports,Early Access","Early Access,Action,Action Roguelike,Hack and Slash,Skateboarding,Rogue-lite,Dungeon Crawler,Score Attack,Rogue-like,Combat,Fast-Paced,Action-Adventure,Replay Value,Difficult,Skating,Stylized,Third Person,Adventure,Singleplayer,Sports"
biogun,31-07-2024,5251,19.99,78048.0,12.534388822459311,93,Indie,Ravenage Games,Dapper Dog Digital,1219240,1219240,0 - 20000,17.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1219240/header.jpg?t=1713385027,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Action,Adventure,Indie,Early Access","Atmospheric,Singleplayer,Adventure,Metroidvania,Shoot 'Em Up,Hand-drawn,Twin Stick Shooter,Platformer,Exploration,Shooter,2D,Cute,Story Rich,Action-Adventure,Cartoony,Stylized,Colorful,Action,Early Access,Dog"
rollscape,22-05-2024,13298,6.99,76991.0,3.6407021344310766,85,Indie,Leonardo the Vinchy,Leonardo the Vinchy,2904290,2904290,0 - 0,6.29,0,['English'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2904290/header.jpg?t=1716382903,0,0,0,0,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Strategy",
ashes,23-06-2024,4181,24.99,76979.0,7.838338003454954,65,Indie,Yanmo Games,Yanmo Games,2455040,654710,0 - 20000,0.99,0,"['English', 'Russian']",https://cdn.akamai.steamstatic.com/steam/apps/654710/header.jpg?t=1558173803,0,0,0,0,0,"Single-player,Steam Achievements","Action,Adventure,Indie","Action,Indie,Adventure,Survival"
ashes,23-06-2024,4181,24.99,76979.0,7.838338003454954,65,Indie,Yanmo Games,Yanmo Games,2455040,904160,0 - 20000,3.99,0,"['English', 'Portuguese', 'French', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/904160/header.jpg?t=1540588239,0,0,0,0,0,"Single-player,Steam Achievements","Action,Adventure,Casual,Indie","Action,Adventure,Indie,Casual,Atmospheric,Walking Simulator"
ashes,23-06-2024,4181,24.99,76979.0,7.838338003454954,65,Indie,Yanmo Games,Yanmo Games,2455040,2455040,0 - 0,19.99,0,"['Simplified Chinese', 'English', 'Japanese', 'Traditional Chinese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2455040/header.jpg?t=1719191975,0,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Family Sharing","Action,Adventure,Indie,Early Access",
world war armies,02-05-2024,16595,0.0,76971.0,21.36603364534045,55,Indie,"Hypemasters, Inc.","Hypemasters, Inc.",2438160,2438160,0 - 0,0.0,3,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2438160/header.jpg?t=1709358140,0,0,0,0,0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,In-App Purchases","Action,Strategy,Free to Play,Early Access",
hero tale,28-03-2024,17823,4.99,76628.0,77.4947975197993,70,Indie,Weird Johnny Studio,Weird Johnny Studio,2513240,2513240,50000 - 100000,4.99,3,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",https://cdn.akamai.steamstatic.com/steam/apps/2513240/header.jpg?t=1707996658,0,0,0,0,0,"Single-player,In-App Purchases","Casual,Indie,RPG,Strategy,Early Access","Early Access,Indie,Dungeon Crawler,RPG,Idler,Loot,Strategy,Exploration,Inventory Management,Character Customization,Tactical,Rogue-lite,Replay Value,Medieval,Fantasy,Singleplayer,2D,Dark Fantasy,Story Rich,Emotional"
feather party,03-05-2024,17907,4.99,76256.0,2.578855667114769,90,Indie,Teneke Kafalar Spotlight,threeW,2300230,2300230,0 - 20000,4.49,0,"['English', 'Turkish', 'French', 'German', 'Spanish - Spain', 'Czech', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2300230/header.jpg?t=1714927095,143,0,0,0,0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Partial Controller Support,Steam Leaderboards,Family Sharing","Action,Casual,Indie,Early Access","Multiplayer,Casual,Funny,Online Co-Op,Party Game,Co-op,Minigames,Indie,Party,Action,Comedy,Colorful,3D Platformer,3D,Cartoony,Family Friendly,PvP,Early Access"
family breeding,04-05-2024,9451,9.99,75575.0,2.2619202418359845,81,Indie,Whiteleaf Studio,Whiteleaf Studio,2853840,2853840,0 - 0,8.49,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/2853840/header.jpg?t=1714883078,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie,Simulation,Early Access",
clickolding,16-07-2024,30448,2.99,75559.0,0.9591748044351496,87,Indie,"Strange Scaffold,Outersloth",Strange Scaffold,3011440,3011440,20000 - 50000,2.99,0,['English'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3011440/header.jpg?t=1721175936,823,9,0,9,0,"Single-player,Family Sharing",Indie,"Psychological Horror,Sexual Content,First-Person,Sci-fi,Anime,Story Rich,Exploration,Cute,Crime,Noir,Clicker,Surreal,Dark Humor,Atmospheric,Singleplayer,Indie,Psychological,Point & Click,Conversation,Hentai"
rugby 25,28-06-2024,2783,29.99,75115.0,4.477776737220209,31,AA,Nacon,Big Ant Studios,2340870,2340870,0 - 20000,29.99,0,['English'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2340870/header.jpg?t=1719577378,106,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Sports,Early Access","Sports,Rugby,Arcade,3D,Realistic,Local Multiplayer,Early Access,Multiplayer,Singleplayer"
retail company simulator,06-08-2024,7846,11.99,74807.0,14.429833855747482,95,Indie,Business Tycoon,Business Tycoon,3089130,3089130,0 - 20000,11.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese', 'Arabic', 'Czech', 'Dutch']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3089130/header.jpg?t=1725007783,230,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie,Simulation","Casual,Simulation,Life Sim,Sandbox,Design & Illustration,Immersive Sim,Economy,3D,Realistic,Capitalism,Management,Family Friendly,Resource Management,Inventory Management,Trading,Singleplayer,Shop Keeper,Strategy,Indie,Multiplayer"
madison vr,02-05-2024,2659,34.99,74572.0,3.281796387051666,80,Indie,BLOODIOUS GAMES,BLOODIOUS GAMES,2414550,2414550,0 - 20000,29.74,0,"['English', 'French', 'German', 'Simplified Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Arabic']",https://cdn.akamai.steamstatic.com/steam/apps/2414550/header.jpg?t=1714706221,0,0,0,0,0,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Steam Cloud,Family Sharing","Action,Adventure,Indie,Simulation",
movies tycoon,15-07-2024,2928,29.99,74220.0,7.186581816469715,71,Indie,PixelCraze s.r.o.,PixelCraze s.r.o.,2659050,2659050,0 - 20000,26.99,0,"['English', 'German', 'Czech', 'French', 'Italian', 'Spanish - Spain', 'Polish']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2659050/header.jpg?t=1721904013,0,0,0,0,0,"Single-player,Includes level editor,Family Sharing","Simulation,Early Access","Early Access,Simulation,Management,Economy,Capitalism,Strategy,Building,Character Customization,Sandbox,Singleplayer,Time Management,Cinematic,Realistic,Memes,Top-Down,Tutorial,City Builder,3D,America,1990's"
joy of programming - software engineering simulator,30-01-2024,5061,17.99,73977.0,8.240086829646355,86,AA,PlayWay S.A.,Prof. Scherer,2216770,2216770,0 - 20000,15.29,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2216770/header.jpg?t=1707124349,0,0,0,0,0,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Indie,Simulation,Strategy,Early Access","Early Access,Programming,Automation,Logic,Puzzle,Robots,Education,Science,Simulation,Physics,Coding,Hacking,Immersive Sim,3D,Moddable,Top-Down,Difficult,Realistic,Tutorial,Level Editor"
love sucks: night two,26-04-2024,8567,9.99,73926.0,7.128949548171759,0,Indie,Critical Bliss,Art Witch Studios,1719310,1719310,0 - 20000,8.99,1,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1719310/header.jpg?t=1714172607,0,0,0,0,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie,Simulation",
combat mission: final blitzkrieg,25-01-2024,2318,59.99,73845.0,28.69510089927749,91,AA,Slitherine Ltd.,Battlefront,2676000,2676000,0 - 20000,41.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",https://cdn.akamai.steamstatic.com/steam/apps/2676000/header.jpg?t=1706199213,0,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP",Strategy,"Strategy,Simulation,RTS,Turn-Based Strategy,Real Time Tactics,Turn-Based Tactics,Wargame,3D,Realistic,Historical,Military,Old School,Tactical,War,World War II,Combat,PvE,PvP,Turn-Based Combat,Multiplayer"
cuckold's gym,29-02-2024,10845,9.99,73725.0,1.1268257494695315,52,Indie,GeoCuck Group,GeoCuck Group,2757250,2757250,0 - 20000,8.09,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Ukrainian', 'Japanese']",https://cdn.akamai.steamstatic.com/steam/apps/2757250/header.jpg?t=1709273118,0,0,0,0,0,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie,RPG,Simulation,Strategy",
death from above,22-02-2024,9370,9.99,73720.0,2.636919618604075,96,Indie,Lesser Evil,Rockodile,2300160,2300160,0 - 20000,9.99,1,"['English', 'Ukrainian']",https://cdn.akamai.steamstatic.com/steam/apps/2300160/header.jpg?t=1685114269,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","Action,Simulation,Early Access","Immersive Sim,Shooter,Political,Wargame,Flight,Dark Humor,3D,Third-Person Shooter,Early Access,Sandbox,Arcade,Tanks,Action,First-Person,Parody,Third Person,Funny,Singleplayer,Controller,Military"
cartel simulator,06-01-2024,8484,10.99,73464.0,6.277972444255539,69,Indie,ITK,ITK,2536490,2536490,0 - 20000,9.12,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/2536490/header.jpg?t=1704680979,0,0,0,0,0,"Single-player,Steam Achievements","Action,Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",
my demonic romance,01-05-2024,4332,19.99,73449.0,3.198792096558785,80,Indie,Andrealphus Games,Andrealphus Games,2370140,2370140,0 - 20000,17.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/2370140/header.jpg?t=1714575516,0,0,0,0,0,"Single-player,Family Sharing","Casual,Indie,Early Access",
natsu-mon: 20th century summer kid,26-06-2024,2115,39.99,73248.0,5.826172175775137,100,AA,"Spike Chunsoft Co., Ltd.","TOYBOX Inc.,Millennium Kitchen Co., Ltd.",2839280,2839280,0 - 20000,39.99,1,"['Simplified Chinese', 'Traditional Chinese', 'Japanese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2839280/header.jpg?t=1720410060,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",Adventure,"Adventure,Life Sim,Exploration,3D,Cartoon,Cartoony,Colorful,Cute,Third Person,1990's,Atmospheric,Family Friendly,Retro,Open World,Story Rich,Singleplayer"
bewitching sinners,02-05-2024,4546,17.99,73029.0,10.358212773282307,98,Indie,Miss Xero,Miss Xero,2615670,2615670,0 - 20000,17.99,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/2615670/header.jpg?t=1714677046,0,0,0,0,0,"Single-player,Steam Achievements,Family Sharing","Casual,Indie","Visual Novel,Dating Sim,Otome,Interactive Fiction,2D,LGBTQ+,Comic Book,Comedy,Romance,Choices Matter,Multiple Endings,Story Rich,Casual,Anime,Crafting,Fantasy,Choose Your Own Adventure,Immersive Sim,Dark Humor,Magic"
logiart grimoire,15-03-2024,5375,19.99,73024.0,24.275998793839463,97,Indie,Jupiter Corporation,Jupiter Corporation,2492390,2492390,0 - 20000,12.99,0,"['English', 'Japanese']",https://cdn.akamai.steamstatic.com/steam/apps/2492390/header.jpg?t=1701398803,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud","Casual,Indie,Strategy,Early Access","Puzzle,Word Game,Casual,Pixel Graphics,Puzzle-Platformer,Fantasy,Strategy,Collectathon,Crafting,Mystery,Magic,Hidden Object,2D,Detective,Singleplayer,Investigation,Story Rich,Early Access,Indie"
fatermyth,23-04-2024,8947,9.99,72746.0,7.219293184789795,84,Indie,Merlion Games,KDream,2530420,2530420,0 - 20000,8.99,1,"['Simplified Chinese', 'Traditional Chinese', 'English']",https://cdn.akamai.steamstatic.com/steam/apps/2530420/header.jpg?t=1714035964,242,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,RPG","Adventure,Story Rich,RPG,Deckbuilding,Drama,Female Protagonist,Tabletop,Lore-Rich,Singleplayer,Card Game,Turn-Based Tactics,Choose Your Own Adventure,Card Battler,Indie,Atmospheric,2D,Turn-Based Combat,Fantasy,Multiple Endings,Strategy"
nejicomisimulator tma02 - my own dedicated weak pussy cow vtuber's confinement and training! choke-clamping deep-digging rip to her life masochistic-orgasm!- (cheeky big boob faphole understood her position),23-05-2024,3616,24.99,72642.0,15.223036272162016,86,Indie,"やぶから堂,LewdLoco","やぶから堂,たまぷろじぇくと",2432040,2432040,0 - 20000,22.49,2,"['Simplified Chinese', 'Japanese', 'English']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2432040/header.jpg?t=1716476427,0,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing","Casual,Indie,Simulation",
forgotten seas,07-06-2024,3482,24.99,72549.0,23.006322622831195,83,Indie,indie.io,Pangea Game Studios,2168260,2168260,0 - 0,22.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Polish']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2168260/header.jpg?t=1717783792,0,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Family Sharing","Action,Adventure,Indie,Simulation,Early Access",
malware,31-07-2024,32488,2.99,72453.0,1.863085353681632,88,Indie,Odd Games,Odd Games,3019370,3019370,20000 - 50000,2.39,0,"['English', 'French', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3019370/header.jpg?t=1722479170,579,0,0,0,0,"Single-player,Family Sharing","Casual,Indie,Simulation,Strategy","Casual,Simulation,Puzzle,Singleplayer,Strategy,Point & Click,Hidden Object,Clicker,1990's,Life Sim,2D,Retro,Detective,Memes,Logic,Psychological Horror,Hacking,Indie,Text-Based,Linear"
real estate simulator - from bum to millionaire,22-03-2024,7849,12.99,72346.0,3.020761271053206,51,Indie,Midnight Games,Geekon,2738900,2738900,0 - 0,9.09,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Italian', 'Simplified Chinese', 'Portuguese - Portugal', 'Portuguese - Brazil']",https://cdn.akamai.steamstatic.com/steam/apps/2738900/header.jpg?t=1711101068,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Indie,RPG,Simulation",
schim,18-07-2024,5057,24.99,72271.0,2.506968572426479,77,Indie,"Extra Nice,PLAYISM","Ewoud van der Werf,Nils Slijkerman",1519710,1519710,0 - 20000,24.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Finnish', 'Greek', 'Hungarian', 'Indonesian', 'Norwegian', 'Romanian', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese', 'Croatian']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1519710/header.jpg?t=1722101992,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie","Exploration,Relaxing,3D Platformer,Puzzle-Platformer,Wholesome,Collectathon,Puzzle,Colorful,Family Friendly,Stylized,Isometric,Casual,3D,Adventure,Cute,Third Person,Top-Down,Abstract,Minimalist,Singleplayer"
kritika: zero,18-07-2024,5464,0.0,72154.0,22.60248534969474,50,Indie,株式会社G・O・P,VALOFE,3007020,3007020,0 - 0,0.0,0,"['Japanese', 'English', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3007020/header.jpg?t=1721289369,0,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op","Action,Casual,RPG,Free to Play",
twilight survivors,01-04-2024,29195,2.99,72149.0,10.15643345075452,89,Indie,DORIDORI STUDIO,DORIDORI STUDIO,2788310,2788310,0 - 20000,2.69,0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2788310/header.jpg?t=1712477144,0,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie,RPG","Action Roguelike,Bullet Hell,Shoot 'Em Up,Indie,Action RPG,Rogue-lite,Combat,Singleplayer,Rogue-like,Action,Casual,Arcade,Fantasy,Adventure,Score Attack,RPG,Controller,Cartoony,3D"
lakeside,25-03-2024,6710,14.99,72013.0,3.0665883078991616,68,Indie,Massive Galaxy Studios,Massive Galaxy Studios,1552220,1552220,0 - 20000,13.49,0,['English'],https://cdn.akamai.steamstatic.com/steam/apps/1552220/header.jpg?t=1664729166,0,0,0,0,0,"Single-player,Steam Achievements,Steam Cloud","Strategy,Early Access","Strategy,City Builder,Colony Sim,Side Scroller,2D,Pixel Graphics,Building,Fantasy,Management,Medieval,Base-Building,Early Access,Resource Management,Singleplayer,Atmospheric,Relaxing,Survival,Cozy"
