,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,AppID,Genres
31,le mans ultimate,20-02-2024,120703,32.99,3740762.0,24.51989839725174,78,Indie,Studio 397,Studio 397,2399420,2399420,"Racing,Early Access"
32,the hungry lamb: traveling in the late ming dynasty,22-04-2024,588305,9.99,3689551.0,5.515544910785541,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370,2593370,"Adventure,Indie,RPG"
33,fabledom,13-05-2024,274354,20.99,3559827.0,9.741550826316857,90,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560,1651560,"Casual,Simulation,Strategy"
34,apollo justice: ace attorney trilogy,24-01-2024,89327,49.99,3465018.0,40.0243065252875,93,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220,2187220,Adventure
35,banishers: ghosts of new eden,12-02-2024,78137,49.99,3387809.0,22.31599204035413,87,AA,Focus Entertainment,DON'T NOD,1493640,1493640,"Action,Adventure,RPG"
36,buckshot roulette,04-04-2024,1486957,2.99,3369649.0,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570,2835570,"Action,Indie,Simulation"
37,fields of mistria,05-08-2024,265456,13.99,3342356.0,15.649349536238686,98,Indie,NPC Studio,NPC Studio,2142790,2142790,"Indie,RPG,Simulation,Early Access"
38,forewarned,25-04-2024,366053,12.99,3322822.0,8.447204850866648,91,Indie,Dreambyte Games,Dreambyte Games,1562420,1562420,"Action,Adventure,Indie"
39,midnight ghost hunt,21-03-2024,371470,19.99,3272209.0,11.916997192362892,78,AA,Coffee Stain Publishing,Vaulted Sky Games,915810,915810,"Action,Indie"
40,tomb raider i-iii remastered starring lara croft,13-02-2024,125073,29.99,3262820.0,25.629116385966057,87,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970,2478970,"Action,Adventure"
41,five nights at freddy's: into the pit,07-08-2024,181334,19.99,3262379.0,5.095655826350983,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370,2638370,"Action,Adventure,Indie"
42,rotwood,24-04-2024,412521,10.99,3180800.0,8.798469833185573,73,AA,Klei Entertainment,Klei Entertainment,2015270,2015270,"Action,Adventure,RPG,Early Access"
43,hookah haze,10-07-2024,17717,17.99,263733.0,4.766068924187017,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300,2470300,Adventure
44,future fragments,22-02-2024,14679,19.99,263197.0,6.791463008808835,80,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920,1238920,"Action,Adventure,Indie,RPG"
45,botany manor,09-04-2024,12312,24.99,263004.0,3.329619728276769,96,Indie,Whitethorn Games,Balloon Studios,1425350,1425350,Adventure
46,scarlet tower,25-03-2024,66201,4.99,262728.0,10.807864513617217,86,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720,2181720,"Action,Casual,Indie,RPG"
47,vellum,28-03-2024,15742,19.99,260940.0,7.258494933109757,90,Indie,"Alvios, Inc.",Alvios Games,917950,917950,"Action,Adventure,Indie,Early Access"
48,supernatural,15-07-2024,34355,8.99,260449.0,1.582619871033138,63,Indie,Hitori De Productions,Hitori De Productions,2093010,2093010,"Action,Adventure,Indie"
49,viking rise: valhalla,21-05-2024,20537,0.0,259513.0,36.62029672226122,75,Indie,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,2819520,2819520,"Massively Multiplayer,RPG,Strategy,Free To Play"
50,yohane the parhelion - numazu in the mirage -,21-02-2024,10048,29.99,258574.0,11.459016872346174,93,Indie,BeXide Inc.,BeXide Inc.,2459750,2459750,RPG
51,revue starlight el dorado,07-08-2024,9499,29.99,256387.0,5.427033571710683,98,Indie,Bushiroad Inc.,Frontwing,2849960,2849960,Adventure
52,contain,16-01-2024,12768,13.99,255512.0,2.503693650275288,60,Indie,SinginGiant,SinginGiant,2186700,2186700,"Action,Indie,Early Access"
53,brothers: a tale of two sons remake,28-02-2024,21858,19.99,255441.0,2.3648222677036745,68,AA,505 Games,Avantgarden SRL,2153350,2153350,"Adventure,Casual"
54,voice love on air,27-03-2024,10136,29.99,254966.0,11.2397919153104,90,Indie,SOFTSTAR ENTERTAINMENT,"SOFTSTAR ENTERTAINMENT,Noisy Fish",2321120,2321120,"Casual,Simulation"
55,great houses of calderia,02-05-2024,14675,24.99,253627.0,8.063675087275312,78,Indie,Firesquid,Resistance Games,1812910,1812910,"Indie,RPG,Strategy"
56,king arthur: legion ix,09-05-2024,15238,19.99,252953.0,12.391322087258976,71,Indie,NeocoreGames,NeocoreGames,2739830,2739830,"RPG,Strategy"
57,sentry,25-03-2024,15063,19.99,251556.0,6.484102923591283,85,Indie,Fireblade Software,Fireblade Software,1252680,1252680,"Action,Indie,Strategy,Early Access"
58,nexus 5x,18-04-2024,19791,14.99,250950.0,20.865414536197893,95,Indie,Paradox Arc,Whatboy Games,1983990,1983990,"Indie,RPG,Simulation,Strategy"
59,autoforge,27-03-2024,14728,19.99,249767.0,13.221277300296627,89,Indie,Siege Games,Siege Games,1960480,1960480,"Action,Simulation,Early Access"
60,magic pussy: chapter 2,13-01-2024,36601,9.99,249274.0,2.612123877243422,75,Indie,Taboo Tales 💘,Taboo Tales 💘,2512190,2512190,"Adventure,Casual,RPG"
61,tennis manager 2024,23-05-2024,7878,39.99,248804.0,10.221171029632243,83,Indie,Rebound CG,Rebound CG,2870110,2870110,"Indie,Simulation,Sports,Strategy"
62,lifeform zero,22-02-2024,36772,7.99,243845.0,1.1870703784703778,83,Indie,"Mango Party,Mango Party News",Sins of Succubus,1848270,1848270,"Indie,RPG,Simulation"
63,turbo golf racing,04-04-2024,27537,9.99,240922.0,8.278991424104499,86,Indie,Hugecalf Studios,Hugecalf Studios,1324350,1324350,"Action,Racing,Sports"
64,windowkill,23-02-2024,54205,4.99,239666.0,4.033346015712271,97,Indie,torcado,torcado,2726450,2726450,"Action,Indie"
65,bootstrap island,22-02-2024,11797,24.99,237361.0,4.453969670795021,83,Indie,Maru VR Productions,Maru VR Productions,1942110,1942110,"Action,Adventure,Indie,Simulation,Strategy,Early Access"
66,idle hero td - tower defense,03-05-2024,13061,0.0,235863.0,189.05701139969932,79,Indie,Swell Games LLC,Swell Games LLC,2897580,2897580,"Action,Casual,Indie,Strategy,Free To Play,Early Access"
67,hairdresser simulator,06-03-2024,14398,19.99,235724.0,7.94368062025551,49,Indie,Frozen Way,GameFormatic S.A.,1330560,1330560,"Casual,Indie,Simulation"
68,maniac,28-03-2024,57155,4.99,235604.0,4.290811596159339,91,Indie,Skystone Games,Transhuman Design,1482380,1482380,"Action,Indie,Racing,RPG,Simulation"
69,nevergrind online,11-07-2024,27973,15.99,235479.0,43.736640716411806,89,Indie,Neverworks Games,Neverworks Games,853450,853450,"Action,Indie,RPG"
70,zoonomaly,06-03-2024,43112,5.99,232416.0,6.127524221454782,72,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC,2101890,2101890,"Action,Adventure,Indie"
71,pepper grinder,28-03-2024,19649,14.99,230628.0,3.0902037504824045,88,AA,Devolver Digital,"Ahr Ech,MP2 Games",2076580,2076580,"Action,Indie"
72,shashingo: learn japanese with photography,27-02-2024,14012,19.99,229922.0,4.261561103643061,95,Indie,Autumn Pioneer,Autumn Pioneer,1632490,1632490,"Casual,Indie,Simulation"
73,hexguardian,02-05-2024,24896,11.99,227666.0,16.151996485734074,84,Indie,Yogscast Games,Split Second Games,2381740,2381740,Strategy
74,modern pink elf rpg,02-02-2024,24006,11.99,227642.0,3.399177167134526,88,Indie,"Remtairy,CursedAtelier",Warshop,2745710,2745710,RPG
75,internet cafe evolution,19-04-2024,18075,14.99,225541.0,18.29526412534356,80,Indie,Tiny Flame Games,Tiny Flame Games,2600600,2600600,"Casual,Indie,Simulation,Strategy"
76,primitive society simulator,26-02-2024,13359,19.99,224409.0,23.152544840566616,84,Indie,YSH Games,YSH BigDove,1876880,1876880,"Indie,Simulation,Strategy,Early Access"
77,dystopika,21-06-2024,38869,6.99,224151.0,2.4823713745397766,97,Indie,"Voids Within,UNIKAT Label",Voids Within,2379910,2379910,"Casual,Indie,Simulation,Strategy"
78,transformative summer: life with a ts companion,23-08-2024,16175,16.99,223483.0,1.763499267186479,90,Indie,"HENTAI Plan,OTAKU Plan",88Danuki,2891040,2891040,"Adventure,Indie,Simulation"
79,bare witness,20-07-2024,22016,12.99,223470.0,8.570352837139355,95,Indie,AlterWorlds,AlterWorlds,2387380,2387380,"Adventure,Casual,Indie"
80,blockbuster inc.,06-06-2024,10529,24.99,222603.0,7.775502852784427,53,Indie,Ancient Forge,Super Sly Fox,1793090,1793090,"Casual,Simulation"
81,guards!,01-03-2024,19148,14.99,222412.0,3.8115169276491287,73,Indie,WYLDERZONE,"WYLDERZONE,Lowkey GameDev",2514460,2514460,"Action,Adventure,Indie"
82,hawked,15-02-2024,162606,0.0,221326.0,11.438980059315815,55,Indie,"MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)",MY.GAMES,1955960,1955960,"Action,Adventure,Free To Play"
83,tiebreak: official game of the atp and wta,22-08-2024,6854,49.99,220924.0,14.886697995640557,75,AA,Nacon,Big Ant Studios,2264340,2264340,"Simulation,Sports"
84,chasing sunsets,18-08-2024,25621,14.99,219632.0,14.334402971391173,94,Indie,Stone Fox Studios,Stone Fox Studios,1783110,1783110,"Adventure,Casual,Indie"
85,path of achra,07-05-2024,26939,9.99,218518.0,28.54435664963007,99,Indie,Slouching Beast LLC,Ulfsire,2128270,2128270,RPG
86,sisters: last day of summer,03-06-2024,10528,24.99,218069.0,2.863190329208691,84,Indie,JAST,Jellyfish,2781750,2781750,"Adventure,Casual"
87,three kingdoms: innovatory,31-01-2024,26571,13.99,218047.0,20.124106848010214,76,Indie,Moment HK,瞬息万变工作室,2340500,2340500,"Indie,RPG,Strategy,Early Access"
88,exocross,22-07-2024,8226,39.99,217345.0,5.42370667094399,70,Indie,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing",773840,773840,"Racing,Simulation,Sports"
89,angel at dusk,12-01-2024,20643,14.99,217085.0,10.783586495954678,99,Indie,"Henteko Doujin,Sanuk Inc.",Akiragoya,1405500,1405500,"Action,Indie"
90,sex formula,05-09-2024,6030,39.99,217025.0,1.3852123208746496,77,Indie,MIGI STUDIO,MIGI STUDIO,2889660,2889660,"Indie,RPG"
91,casecracker2,16-05-2024,21864,11.99,216851.0,5.844877721759396,95,Indie,NPC Entertainment,BlackRobe,2294450,2294450,"Indie,Simulation,Strategy"
92,coreborn,19-06-2024,14796,13.99,216265.0,30.494220097898072,67,Indie,Blankhans,Blankhans,1926090,1926090,"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG"
93,heart of crown online,23-04-2024,13112,19.99,215401.0,10.997180274952369,81,Indie,Japanime Digital,"illuCalab,FLIPFLOPs",1883000,1883000,"Indie,Strategy,Early Access"
94,stargate: timekeepers,23-01-2024,7991,29.99,214688.0,5.441417976196167,58,AA,Slitherine Ltd.,Slitherine Ltd.,1523650,1523650,Strategy
95,vae victis - khan,01-03-2024,16129,14.99,214566.0,10.44505482765064,83,Indie,Doorknob22,Doorknob22,2540230,2540230,"Adventure,Indie,RPG,Strategy,Early Access"
96,tour de france 2024,06-06-2024,5833,39.99,208625.0,20.921704466723124,72,AA,Nacon,Cyanide Studio,2494340,2494340,"Casual,Racing,Simulation,Sports,Strategy"
97,project mikhail: a muv-luv war story,26-04-2024,15338,19.99,208558.0,21.58182968869664,55,Indie,aNCHOR Inc.,"aNCHOR Inc.,fuzz, Inc.",1557480,1557480,"Action,Adventure,RPG,Simulation,Strategy"
98,the deluca family - season 1,27-02-2024,16425,15.99,207588.0,12.18923439084038,83,Indie,MemoGaming,MemoGaming,2814610,2814610,"Action,Adventure,Casual,Indie,RPG"
99,江湖客栈-the jianghu,31-08-2024,51896,0.0,205131.0,260.3405090672399,61,Indie,Path,『風林火山』工作室,1881610,1881610,"Action,Adventure,Indie,Massively Multiplayer,Free To Play"
100,the bathhouse | 地獄銭湯 restored edition,09-08-2024,28170,7.99,202570.0,2.4106187515297246,92,Indie,Chilla's Art,Chilla's Art,2989950,2989950,Indie
101,shipwrecked 64,01-01-2024,26225,7.99,202048.0,7.407742826442237,96,Indie,Cogware Games,"Squeaks D'Corgeh,Cogware Games",2160220,2160220,"Adventure,Casual,Strategy"
102,shadow of the depth,22-04-2024,16453,14.99,201940.0,8.217366605525815,72,Indie,ChillyRoom,ChillyRoom,2100150,2100150,"Action,Adventure,Indie,Early Access"
103,chill pulse,02-05-2024,51928,4.99,199035.0,31.10197244558289,95,Indie,Catos Game,Catos Game,2826180,2826180,"Adventure,Casual,Indie,Simulation"
104,convrgence,22-04-2024,12366,19.99,198731.0,5.466555952304595,81,Indie,Monkey-With-a-Bomb,Monkey-With-a-Bomb,2609610,2609610,"Action,Adventure,Early Access"
105,a day out,27-06-2024,20883,9.99,198689.0,5.069955151525373,80,Indie,KevTheDev,"KevTheDev,gamesbychris",1547670,1547670,"Action,Adventure,Indie"
106,arzette: the jewel of faramore,13-02-2024,12464,19.99,198058.0,4.056923806623435,97,Indie,Limited Run Games,Seedy Eye Software,1924780,1924780,"Action,Adventure,Indie,RPG"
107,colony city 27λ,26-03-2024,21646,10.99,197843.0,4.235837414783542,90,Indie,Playmeow,Bunny Eats Tiger,2442410,2442410,"Adventure,Indie,RPG"
108,smash girls,25-06-2024,21519,10.99,197661.0,1.62018681861316,84,Indie,"Mango Party,Mango Party News",18bitStudio,2822030,2822030,"Action,RPG"
109,彷徨之街 the street of adrift,20-05-2024,34730,11.99,195942.0,9.590101408610204,76,Indie,LoveStoryProject,Caramel-Mocha Studio,1672670,1672670,Indie
110,corsairs legacy - pirate action rpg & sea battles,30-01-2024,13511,17.99,195795.0,2.5949174590740385,70,Indie,Mauris Games OU,Mauris,1594880,1594880,"Action,Adventure,RPG,Simulation,Early Access"
111,4d golf,22-03-2024,10052,19.99,195440.0,6.548743445908296,99,Indie,CodeParade,CodeParade,2147950,2147950,"Casual,Indie"
112,diluvian winds,25-04-2024,13936,17.99,194382.0,5.081085619181385,77,Indie,"Goblinz Publishing,IndieArk",Alambik Studio,1561040,1561040,"RPG,Simulation,Strategy"
113,rocksmith+,06-06-2024,35660,0.0,193594.0,3.87375145779168,11,AAA,Ubisoft,"Ubisoft San Francisco,Ubisoft Osaka,Ubisoft Bucharest,Ubisoft Pune",2834910,2834910,"Casual,Free To Play"
114,how to lose one's virginity,25-04-2024,19576,11.99,193532.0,4.968943677656601,86,Indie,VisualPointG,VisualPointG,2578880,2578880,"Adventure,Indie,Early Access"
115,apprehending the adventurer chan! ~live2d tentacles simulator~,27-06-2024,27719,7.99,189258.0,2.660770403074175,97,Indie,Alice Publication,No.7 Void Mine,3012420,3012420,"Casual,Indie,Simulation"
116,道衍诀,08-05-2024,19716,11.99,188260.0,8.306483637567908,66,Indie,宁德动游网络科技有限公司,宁德动游网络科技有限公司,1951220,1951220,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access"
117,beat hazard 3,22-06-2024,13179,18.99,187908.0,13.222661214210484,89,Indie,Cold Beam Games,Cold Beam Games,1493520,1493520,"Action,Casual,Indie"
118,final factory,09-04-2024,10896,18.99,186670.0,20.93961115219039,83,Indie,Never Games Limited,Never Games Limited,1383150,1383150,"Simulation,Strategy,Early Access"
119,yellow taxi goes vroom,09-04-2024,13798,16.99,184444.0,6.573973275788298,99,Indie,"Xelu,Those Awesome Guys",Panik Arcade,2011780,2011780,"Action,Adventure,Indie"
120,galaxy burger,23-08-2024,21079,11.99,183781.0,5.290148096748573,95,Indie,Galactic Workshop,Galactic Workshop,2749770,2749770,"Casual,Indie,Simulation"
121,broke protocol: online city rpg,26-06-2024,98931,9.99,183531.0,9.725358535580774,75,Indie,Cylinder Studios,Cylinder Studios,696370,696370,"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation"
